"maximumDepthInMeters"	"magnification"	"foto"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"add"	"lifeStage"	"identificationRemarks"	"organismRemarks"	"organismScope"	"occurrenceRemarks"
50	60		"AT"	50	"cells/l"	"Eukaryota incertae sedis"	"indet."	2016	"MOSJ2016"	"V12"	"PHT-039"		"Occurrence"	8317.555	4	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	415.87775	"Niskin bottle"	"phytoplankton"	"Fagellates"						
50	60		"AT"	50	"cells/l"	"Gymnodinium arcticum"		2016	"MOSJ2016"	"V12"	"PHT-039"		"Occurrence"	4158.778	2	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	207.938875	"Niskin bottle"	"phytoplankton"							
50	60		"AT"	50	"cells/l"	"Gymnodinium gracilentum"		2016	"MOSJ2016"	"V12"	"PHT-039"		"Occurrence"	22873.276	11	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	1143.663813	"Niskin bottle"	"phytoplankton"							
50	60		"AT"	50	"cells/l"	"Gymnodinium"	"sp. cf. G. simplex"	2016	"MOSJ2016"	"V12"	"PHT-039"	"species"	"Occurrence"	2079.389	1	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	103.9694375	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. cf G. simplex"						
50	60		"AT"	50	"cells/l"	"Gymnodinium"	"sp."	2016	"MOSJ2016"	"V12"	"PHT-039"	"species"	"Occurrence"	2079.389	1	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	103.9694375	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"						
50	60		"AT"	50	"cells/l"	"Gymnodinium wulffii"		2016	"MOSJ2016"	"V12"	"PHT-039"		"Occurrence"	2079.389	1	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	103.9694375	"Niskin bottle"	"phytoplankton"							
50	60		"AT"	50	"cells/l"	"Phaeocystis pouchetii"		2016	"MOSJ2016"	"V12"	"PHT-039"		"Occurrence"	72778.606	35	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	3638.930313	"Niskin bottle"	"phytoplankton"		"flagella form"					
50	60		"AT"	50	"cells/l"	"Phaeocystis pouchetii"		2016	"MOSJ2016"	"V12"	"PHT-039"		"Occurrence"	14555.721	7	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	727.7860625	"Niskin bottle"	"phytoplankton"							
50	10		"AT"	50	"cells/l"	"Proboscia subarctica"		2016	"MOSJ2016"	"V12"	"PHT-039"		"Occurrence"	134.334	1	0.007444113594951336	"l"	"present"	"verified"	67	450.02	50	1000	1	6.716716418	"Niskin bottle"	"phytoplankton"							
50	60		"AT"	50	"cells/l"	"Rhizosolenia setigera"		2016	"MOSJ2016"	"V12"	"PHT-039"		"Occurrence"	2079.389	1	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	103.9694375	"Niskin bottle"	"phytoplankton"							
50	60		"AT"	50	"cells/l"	"Scrippsiella"	"sp."	2016	"MOSJ2016"	"V12"	"PHT-039"	"species"	"Occurrence"	2079.389	1	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	103.9694375	"Niskin bottle"	"phytoplankton"							
50	10		"AT"	50	"cells/l"	"Strombidium"	"sp."	2016	"MOSJ2016"	"V12"	"PHT-039"	"species"	"Occurrence"	403.003	3	0.007444113594951336	"l"	"present"	"verified"	67	450.02	50	1000	1	20.15014925	"Niskin bottle"	"phytoplankton"							
50	60		"AT"	50	"cells/l"	"Teleaulax"	"sp."	2016	"MOSJ2016"	"V12"	"PHT-039"	"species"	"Occurrence"	2079.389	1	0.000480910556046819	"l"	"present"	"verified"	160	16635.11	50	1000	1	103.9694375	"Niskin bottle"	"phytoplankton"							
50	10		"AT"	50	"cells/l"	"Uronema marinum"		2016	"MOSJ2016"	"V12"	"PHT-039"		"Occurrence"	134.334	1	0.007444113594951336	"l"	"present"	"verified"	67	450.02	50	1000	1	6.716716418	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Amphidoma acuminata"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	1094.415	1	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	54.72075658	"Niskin bottle"	"phytoplankton"							
33	10		"AT"	33	"cells/l"	"Chaetoceros convolutus"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	341.787	3	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	17.08936709	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Chrysochromulina"	"sp. cf. Ch. parkeae"	2016	"MOSJ2016"	"V12"	"PHT-040"	"species"	"Occurrence"	2188.83	2	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Chrysophyceae"	"indet."	2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	2188.83	2	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"	"Chrysophycean"		"cyst"				
33	60		"AT"	33	"cells/l"	"Ciliophora"	"indet."	2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	2188.83	2	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"	"Ciliophora indet. 10-20um"						
33	10		"AT"	33	"cells/l"	"Ciliophora"	"indet."	2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	341.787	3	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	17.08936709	"Niskin bottle"	"phytoplankton"	"Ciliophora indet. 20-30um"						
33	60		"AT"	33	"cells/l"	"Coccolithophora"	"indet."	2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	1094.415	1	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	54.72075658	"Niskin bottle"	"phytoplankton"	"Coccolithophores"						
33	60		"AT"	33	"cells/l"	"Coccolithus pelagicus"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	12038.566	11	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	601.9283224	"Niskin bottle"	"phytoplankton"							
33	10		"AT"	33	"cells/l"	"Dinophysis norvegica"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	113.929	1	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	5.696455696	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Emiliania huxleyi"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	4377.661	4	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	218.8830263	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Eukaryota incertae sedis"	"indet."	2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	91401.703	50	0.0005470357575032566	"l"	"present"	"verified"	182	16635.11	50	1000	1	4570.085165	"Niskin bottle"	"phytoplankton"	"Fagellates"						
33	60		"AT"	33	"cells/l"	"Fragilariopsis oceanica"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	4377.661	4	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	218.8830263	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Gonyaulax"	"sp."	2016	"MOSJ2016"	"V12"	"PHT-040"	"species"	"Occurrence"	1094.415	1	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	54.72075658	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Gymnodinium arcticum"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	4377.661	4	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	218.8830263	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Gymnodinium galeatum"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	3283.245	3	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	164.1622697	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Gymnodinium gracilentum"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	7660.906	7	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	383.0452961	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Gymnodinium"	"sp."	2016	"MOSJ2016"	"V12"	"PHT-040"	"species"	"Occurrence"	4377.661	4	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	218.8830263	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"						
33	60		"AT"	33	"cells/l"	"Gymnodinium"	"sp."	2016	"MOSJ2016"	"V12"	"PHT-040"	"species"	"Occurrence"	1094.415	1	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	54.72075658	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 30-40um"						
33	60		"AT"	33	"cells/l"	"Gyrodinium flagellare"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	1094.415	1	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	54.72075658	"Niskin bottle"	"phytoplankton"							
33	10		"AT"	33	"cells/l"	"Gyrodinium fusiforme"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	113.929	1	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	5.696455696	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Heterocapsa rotundata"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	1094.415	1	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	54.72075658	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Heterocapsa"	"sp. cf. H. niei"	2016	"MOSJ2016"	"V12"	"PHT-040"	"species"	"Occurrence"	3283.245	3	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	164.1622697	"Niskin bottle"	"phytoplankton"							
33	10		"AT"	33	"cells/l"	"Leegaardiella sol"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	113.929	1	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	5.696455696	"Niskin bottle"	"phytoplankton"							
33	10		"AT"	33	"cells/l"	"Lohmanniella oviformis"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	227.858	2	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	11.39291139	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Monosiga marina"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	6566.491	6	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	328.3245395	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Phaeocystis pouchetii"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	573624.483	50	0.00008716503828348594	"l"	"present"	"verified"	29	16635.11	50	1000	1	28681.22414	"Niskin bottle"	"phytoplankton"		"flagella form"					
33	60		"AT"	33	"cells/l"	"Phaeocystis pouchetii"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	1094.415	1	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	54.72075658	"Niskin bottle"	"phytoplankton"							
33	10		"AT"	33	"cells/l"	"Proboscia subarctica"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	113.929	1	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	5.696455696	"Niskin bottle"	"phytoplankton"							
33	10		"AT"	33	"cells/l"	"Pronoctiluca pelagica"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	341.787	3	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	17.08936709	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Prorocentrum cordatum"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	3283.245	3	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	164.1622697	"Niskin bottle"	"phytoplankton"		"dawne minimum"					
33	10		"AT"	33	"cells/l"	"Protoperidinium pellucidum"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	113.929	1	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	5.696455696	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Pseudo-nitzschia granii"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	2188.83	2	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"							
33	60		"AT"	33	"cells/l"	"Pyramimonas"	"sp."	2016	"MOSJ2016"	"V12"	"PHT-040"	"species"	"Occurrence"	1094.415	1	0.0009137300564889561	"l"	"present"	"verified"	304	16635.11	50	1000	1	54.72075658	"Niskin bottle"	"phytoplankton"							
33	10		"AT"	33	"cells/l"	"Rhizosolenia semispina"		2016	"MOSJ2016"	"V12"	"PHT-040"	"form"	"Occurrence"	341.787	3	0.008777387671659037	"l"	"present"	"verified"	79	450.02	50	1000	1	17.08936709	"Niskin bottle"	"phytoplankton"	"Rhizosolenia hebetata f. semispina"						
33	10		"AT"	33	"cells/l"	"Rhizosolenia setigera"		2016	"MOSJ2016"	"V12"	"PHT-040"		"Occurrence"	7895.088	50	0.006333051864361584	"l"	"present"	"verified"	57	450.02	50	1000	1	394.754386	"Niskin bottle"	"phytoplankton"							
