"maximumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"identificationRemarks"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"minimumDepthInMeters"	"occurrenceRemarks"	"previousIdentifications"	"lifeStage"	"magnification"
10	"iopan.pl"	"cells/l"	"Eutintinnus inguilinus"			2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	66.3113402061856	1	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	3.31556701030928	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Euplotes"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"	"species"	"Occurrence"	66.3113402061856	1	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	3.31556701030928	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Alexandrium"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"	"species"	"Occurrence"	66.3113402061856	1	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	3.31556701030928	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Protoperidinium"	"sp."	"sp. 20-30um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"	"species"	"Occurrence"	66.3113402061856	1	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	3.31556701030928	"Niskin bottle"	"phytoplankton"	10		"Protoperidinium sp. 20-30um"		
10	"iopan.pl"	"cells/l"	"Protoperidinium pyriforme"			2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	66.3113402061856	1	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	3.31556701030928	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Strombidium conicum"			2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	132.622680412371	2	0.015080376853953546	"l"	"present"	"verified"	97	321.61	50	1000	1	6.63113402061856	"Niskin bottle"	"phytoplankton"	10				
10	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"3-7um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	8903.9797979798	10	0.0011230932938851542	"l"	"present"	"verified"	99	4407.47	50	1000	1	445.19898989899	"Niskin bottle"	"phytoplankton"	10		"Biflagellatae"		
10	"iopan.pl"	"cells/l"	"Dinobryon"	"spp."	"cyst"	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"	"species"	"Occurrence"	20479.1535353535	23	0.0011230932938851542	"l"	"present"	"verified"	99	4407.47	50	1000	1	1023.95767676768	"Niskin bottle"	"phytoplankton"	10		"Dinobryon spp. cyst"	"cyst"	
10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	"sp. 5-10um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"	"species"	"Occurrence"	17807.9595959596	20	0.0011230932938851542	"l"	"present"	"verified"	99	4407.47	50	1000	1	890.39797979798	"Niskin bottle"	"phytoplankton"	10		"Gymnodinium sp. 5-10um"		
10	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"3-7um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	7123.18383838384	8	0.0011230932938851542	"l"	"present"	"verified"	99	4407.47	50	1000	1	356.159191919192	"Niskin bottle"	"phytoplankton"	10		"Monoflagellatae"		
10	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"			2012	"MOSJ2012"	"KB3"	"MOSJ12-73"		"Occurrence"	890.39797979798	1	0.0011230932938851542	"l"	"present"	"verified"	99	4407.47	50	1000	1	44.519898989899	"Niskin bottle"	"phytoplankton"	10				
