"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"lifeStage"	"occurrenceRemarks"	"verbatimTaxon"	"organismRemarks"
25	60	"AT"	25	"cells/l"	"Gymnodinium"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	56073.40449	15	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	2803.670225	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"				
25	60	"AT"	25	"cells/l"	"Gymnodinium"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	18691.13483	5	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	934.5567416	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 5-10um"				
25	60	"AT"	25	"cells/l"	"Gymnodinium"	"sp. cf. G. arcticum"	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	14952.90787	4	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	747.6453933	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Gymnodinium"	"sp. cf. G. gracilentum"	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	82240.99326	22	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	4112.049663	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Gymnodinium"	"sp. cf. G. wulffii"	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	29905.81573	8	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	1495.290787	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Gyrodinium"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	3738.226966	1	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	186.9113483	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Heterocapsa"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	259923.5938	50	0.0001923642224187276	"l"	"present"	"verified"	64	16635.11	50	1000	1	12996.17969	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Heterocapsa rotundata"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	14952.90787	4	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	747.6453933	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Lessardia elongata"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	7476.453933	2	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	373.8226966	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Leucocryptos marina"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	3738.226966	1	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	186.9113483	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Monosiga marina"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	3738.226966	1	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	186.9113483	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Nitzschia frigida"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	3738.226966	1	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	186.9113483	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Oxyrrhis"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	112146.809	30	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	5607.340449	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Plagioselmis"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	29905.81573	8	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	1495.290787	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Protoperidinium"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	7476.453933	2	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	373.8226966	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Pseudo-nitzschia granii"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	18691.13483	5	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	934.5567416	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Pseudo-nitzschia pseudodelicatissima"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	14952.90787	4	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	747.6453933	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Teleaulax"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-055"	"species"	"Occurrence"	14952.90787	4	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	747.6453933	"Niskin bottle"	"phytoplankton"					
25	60	"AT"	25	"cells/l"	"Conticribra weissflogii"		2014	"MOSJ2014"	"V6"	"PHT-055"		"Occurrence"	33644.0427	9	0.0002675064968010431	"l"	"present"	"verified"	89	16635.11	50	1000	1	1682.202135	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Chaetoceros borealis"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	1384.676923	8	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	69.23384615	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Chaetoceros"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-057"	"species"	"Occurrence"	173.0846154	1	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	8.654230769	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Corethron criophilum"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	346.1692308	2	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	17.30846154	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Euplotes"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-057"	"species"	"Occurrence"	173.0846154	1	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	8.654230769	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Gymnodinium"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-057"	"species"	"Occurrence"	1211.592308	7	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	60.57961538	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 20-30um"				
2	10	"AT"	2	"cells/l"	"Gyrodinium fusiforme"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	1557.761538	9	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	77.88807692	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Gyrodinium"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-057"	"species"	"Occurrence"	346.1692308	2	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	17.30846154	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Laboea strobila"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	173.0846154	1	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	8.654230769	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Leegaardiella sol"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	519.2538462	3	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	25.96269231	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Lohmanniella oviformis"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	519.2538462	3	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	25.96269231	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Micracanthodinium claytonii"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	346.1692308	2	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	17.30846154	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Protoperidinium pallidum"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	519.2538462	3	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	25.96269231	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Protoperidinium pellucidum"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	173.0846154	1	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	8.654230769	"Niskin bottle"	"phytoplankton"					
2	10	"AT"	2	"cells/l"	"Strombidiidae"	"indet."	2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	692.3384615	4	0.005777520999066708	"l"	"present"	"verified"	52	450.02	50	1000	1	34.61692308	"Niskin bottle"	"phytoplankton"	"Strombididae"				
2	60	"AT"	2	"cells/l"	"Alexandrium"	"sp."	2014	"MOSJ2014"	"V6"	"PHT-057"	"species"	"Occurrence"	2188.830263	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"					
2	60	"AT"	2	"cells/l"	"Calliacantha natans"		2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	6566.490789	3	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	328.3245395	"Niskin bottle"	"phytoplankton"					
2	60	"AT"	2	"cells/l"	"Ciliophora"	"indet."	2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	2188.830263	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.4415132	"Niskin bottle"	"phytoplankton"	"Ciliophora indet. 10-20um"				
2	60	"AT"	2	"cells/l"	"Coccolithales"	"indet."	2014	"MOSJ2014"	"V6"	"PHT-057"		"Occurrence"	96308.53158	44	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	4815.426579	"Niskin bottle"	"phytoplankton"					
