"maximumDepthInMeters"	"Class_phylum"	"magnification"	"cells_in_250_ml"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"initialVolume"	"gear"	"taxonRank"	"cell_size_in_classes_um"	"verbatimTaxon"	"organismRemarks"	"minimumDepthInMeters"	"lifeStage"	"col18"	"sampletype"	"occurrenceRemarks"	"log_no"
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	18106.2421768708	905.312108843537	"l"	"present"	"incalculable"	147	16635.11	50	1		"species"	"5-10"								
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gyrodinium fusiforme"		2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	11316.4013605442	565.820068027211	"l"	"present"	"incalculable"	147	16635.11	50	1											
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Heterocapsa rotundata"		2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	31685.9238095238	1584.29619047619	"l"	"present"	"incalculable"	147	16635.11	50	1											
0	"Spirotrichea"	60	0	"iopan.pl"	"cells/l"	"Laboea strobila"		2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	4526.56054421769	226.328027210884	"l"	"present"	"incalculable"	147	16635.11	50	1											
0	"Diatomeae"	60	0	"iopan.pl"	"cells/l"	"Leucocryptos marina"		2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	56582.0068027211	2829.10034013605	"l"	"present"	"incalculable"	147	16635.11	50	1											
0	"Spirotrichea"	60	0	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"		2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	2263.28027210884	113.164013605442	"l"	"present"	"incalculable"	147	16635.11	50	1											
0	"Choanoflagellatea"	60	0	"iopan.pl"	"cells/l"	"Monosiga marina"		2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	6789.84081632653	339.492040816327	"l"	"present"	"incalculable"	147	16635.11	50	1											
0	"Ciliophora"	60	0	"iopan.pl"	"cells/l"	"Mesodinium rubrum"		2010	"ICE2010"	"R1"	"ICE10-17"	"Myrionecta rubra"	"Occurrence"	4526.56054421769	226.328027210884	"l"	"present"	"incalculable"	147	16635.11	50	1											
0	"Diatomeae"	60	0	"iopan.pl"	"cells/l"	"Bacillariophyceae"	"indet."	2010	"ICE2010"	"R1"	"ICE10-17"	"Pennatae"	"Occurrence"	6789.84081632653	339.492040816327	"l"	"present"	"incalculable"	147	16635.11	50	1			"<10"								
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Prorocentrum"	"sp."	2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	22632.8027210884	1131.64013605442	"l"	"present"	"incalculable"	147	16635.11	50	1		"species"									
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Protoperidinium bipes"		2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	2263.28027210884	113.164013605442	"l"	"present"	"incalculable"	147	16635.11	50	1											
0	"Prasinophyceae"	60	0	"iopan.pl"	"cells/l"	"Pyramimonas"	"sp."	2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	2263.28027210884	113.164013605442	"l"	"present"	"incalculable"	147	16635.11	50	1		"species"									
0	"Spirotrichea"	60	0	"iopan.pl"	"cells/l"	"Strombidium"	"sp."	2010	"ICE2010"	"R1"	"ICE10-17"		"Occurrence"	13579.6816326531	678.984081632653	"l"	"present"	"incalculable"	147	16635.11	50	1		"species"									
10	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Alexandrium"	"sp."	2010	"ICE2010"	"R1"	"ICE10-18"		"Occurrence"	2105.71012658228	105.285506329114	"l"	"present"	"incalculable"	158	16635.11	50	1		"species"				10					
10	"Prymnesiophyceae"	60	0	"iopan.pl"	"cells/l"	"Prymnesiophyceae"	"indet."	2010	"ICE2010"	"R1"	"ICE10-18"	"Coccolithophora"	"Occurrence"	151228.272727273	7561.41363636364	"l"	"present"	"incalculable"	110	16635.11	50	1						10					
