"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"previousIdentifications"	"lifeStage"	"taxonRank"	"add"	"foto"	"organismRemarks"	"organismScope"	"occurrenceRemarks"	"verbatimTaxon"	"col21"
5	60	"MR"	5	"cells/l"	"Cryptophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-115"	"Occurrence"	1647.041	1	0.0006071495770091091	"l"	"present"	"verified"	202	16635.11	50	3700	3.7	82.3520297029703	"Niskin bottle"	"microplankton"	"indet."				"6-10um"						
5	60	"MR"	5	"cells/l"	"Dinobryon"	2015	"N-ICE2015"	"Floe3"	"PHT-115"	"Occurrence"	1647.041	1	0.0006071495770091091	"l"	"present"	"verified"	202	16635.11	50	3700	3.7	82.3520297029703	"Niskin bottle"	"microplankton"	"sp."	"Dinobryon sp. statospores"	"statospores"	"species"	"kolczatka"	"'+"					
5	60	"MR"	5	"cells/l"	"Dinophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-115"	"Occurrence"	1647.041	1	0.0006071495770091091	"l"	"present"	"verified"	202	16635.11	50	3700	3.7	82.3520297029703	"Niskin bottle"	"microplankton"	"indet. encysting"				"Złote cysta Polarella glacialis"	"'+"					
5	60	"MR"	5	"cells/l"	"Dinophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-115"	"Occurrence"	1647.041	1	0.0006071495770091091	"l"	"present"	"verified"	202	16635.11	50	3700	3.7	82.3520297029703	"Niskin bottle"	"microplankton"	"indet. encysting"					"'+"					
5	60	"MR"	5	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-115"	"Occurrence"	1647.041	1	0.0006071495770091091	"l"	"present"	"verified"	202	16635.11	50	3700	3.7	82.3520297029703	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
5	60	"MR"	5	"cells/l"	"Gymnodinium"	2015	"N-ICE2015"	"Floe3"	"PHT-115"	"Occurrence"	1647.041	1	0.0006071495770091091	"l"	"present"	"verified"	202	16635.11	50	3700	3.7	82.3520297029703	"Niskin bottle"	"microplankton"	"sp."	"Gymnodinium sp. 10-20um"		"species"	"10-20um"						
5	60	"MR"	5	"cells/l"	"Gymnodinium"	2015	"N-ICE2015"	"Floe3"	"PHT-115"	"Occurrence"	3294.081	2	0.0006071495770091091	"l"	"present"	"verified"	202	16635.11	50	3700	3.7	164.704059405941	"Niskin bottle"	"microplankton"	"sp."	"Gymnodinium sp. 7-10um"		"species"	"<10um"	"'+"					
5	60	"MR"	5	"cells/l"	"Heterocapsa"	2015	"N-ICE2015"	"Floe3"	"PHT-115"	"Occurrence"	1647.041	1	0.0006071495770091091	"l"	"present"	"verified"	202	16635.11	50	3700	3.7	82.3520297029703	"Niskin bottle"	"microplankton"	"sp. cf. H. niei"			"species"		"'+"					
5	60	"MR"	5	"cells/l"	"Mesodinium rubrum"	2015	"N-ICE2015"	"Floe3"	"PHT-115"	"Occurrence"	88267.931	52	0.0005891154311573533	"l"	"present"	"verified"	196	16635.11	50	3700	3.7	4413.39653061224	"Niskin bottle"	"microplankton"						"'+"					
1	60	"MR"	1	"cells/l"	"Alexandrium"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	5983.853	1	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	59.8385251798561	"Niskin bottle"	"microplankton"	"sp."			"species"							
1	60	"MR"	1	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	11967.705	2	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	119.677050359712	"Niskin bottle"	"microplankton"	"indet."	"Biflagellates"									
1	60	"MR"	1	"cells/l"	"Bacillariophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	5983.853	1	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	59.8385251798561	"Niskin bottle"	"microplankton"	"indet."	"Centriceae"				"'+"					
1	60	"MR"	1	"cells/l"	"Eukaryota"	2015	"N-ICE2015"	"Floe3"	"PHT-127"	"Occurrence"	23935.41	4	0.00016711641822626962	"l"	"present"	"verified"	278	16635.11	10	3700	3.7	239.354100719424	"Niskin bottle"	"microplankton"	"incertae sedis"	"Incertains taxa"			"Sprężynka (cell) ~10um"	"'+"					
